axis,leg,n,pos,allpos_f1,length_auroc,tfidf_auroc,tfidf_auroc_sd,tfidf_f1,length_auroc_raw,tfidf_folds,status,length_field,allpos_matches_main,file
sycophancy,elephant_aita,255,134,0.6889,0.5149,0.7475,0.034,0.727,0.5149,5.0,ok,reply_to_original+reply_to_flipped,True,elephant_aita__Qwen__Qwen3.5-2B__main.jsonl
sycophancy,sycon_fp,17,14,0.9032,,,,,,,degenerate: minority class n=3,turns,True,sycon_fp__Qwen__Qwen3.5-2B__main.jsonl
sycophancy,sycophancy_eval,150,123,0.9011,0.451,0.7643,0.0122,0.9144,0.5113,5.0,ok,response,True,sycophancy_eval__Qwen__Qwen3.5-2B__no_reference.jsonl
sycophancy,sycophancy_feedback,217,30,0.2429,0.5473,0.6083,0.0161,0.1384,0.4008,5.0,ok,owned_feedback+neutral_feedback,True,sycophancy_feedback__Qwen__Qwen3.5-2B__blind.jsonl
refusal,harmbench,150,51,0.5075,0.9076,0.8991,0.0055,0.8142,0.9076,5.0,ok,response,True,harmbench__microsoft__Phi-4-mini-instruct__attack.jsonl
refusal,jbb,100,1,0.0198,,,,,,,degenerate: minority class n=1,response,True,jbb__microsoft__Phi-4-mini-instruct__attack__harmful.jsonl
refusal,jbb_artifacts,64,15,0.3797,0.8477,0.8839,0.0116,0.7109,0.8449,5.0,ok,response,True,jbb_artifacts__microsoft__Phi-4-mini-instruct__attack__harmful.jsonl
refusal,strongreject,100,39,0.5612,0.9456,0.9713,0.0026,0.8572,0.9447,5.0,ok,response,True,strongreject__microsoft__Phi-4-mini-instruct__main.jsonl
honesty,deceptionbench_reward,300,149,0.6637,0.5821,0.9025,0.0023,0.8174,0.5822,5.0,ok,response,True,deceptionbench_reward__google__gemma-2-2b-it__blind-response_only.jsonl
honesty,mask_continuation,82,42,0.6774,0.5302,0.6325,0.0234,0.6305,0.5595,5.0,ok,pressured_messages,True,mask_continuation__google__gemma-2-2b-it__main.jsonl
honesty,mask_disinformation,102,32,0.4776,0.6686,0.8351,0.0308,0.602,0.6663,5.0,ok,pressured_messages,True,mask_disinformation__google__gemma-2-2b-it__main.jsonl
honesty,mask_factual,56,22,0.5641,0.6797,0.5321,0.0602,0.3365,0.3235,5.0,ok,pressured_messages,True,mask_factual__google__gemma-2-2b-it__main.jsonl
prompt_injection,injecagent,136,17,0.2222,0.5993,0.8176,0.0269,0.3207,0.612,5.0,ok,next_action,True,injecagent__Qwen__Qwen3.5-2B__no_pointer.jsonl
prompt_injection,open_prompt_injection,300,211,0.8258,0.5725,0.7197,0.004,0.7901,0.5808,5.0,ok,response,True,open_prompt_injection__Qwen__Qwen3.5-2B__detection.jsonl
prompt_injection,tensor_trust_extract,300,119,0.568,0.8051,0.8762,0.0039,0.7715,0.8054,5.0,ok,llm_output,True,tensor_trust_extract__Qwen__Qwen3.5-2B__attack.jsonl
prompt_injection,tensor_trust_hijack,300,137,0.627,0.4876,0.9956,0.0006,0.9546,0.5142,5.0,ok,llm_output,True,tensor_trust_hijack__Qwen__Qwen3.5-2B__attack.jsonl
faithfulness,faith_mt_claimcheck,148,139,0.9686,0.6202,0.207,0.0683,0.9249,0.3685,5.0,skewed (>90% one class),turns,True,faith_mt_claimcheck__meta-llama__Llama-3.2-3B-Instruct__gold_hidden.jsonl
faithfulness,faith_mt_grounded,116,12,0.1875,0.462,0.7703,0.0155,0.0,0.5148,5.0,ok,turns,True,faith_mt_grounded__meta-llama__Llama-3.2-3B-Instruct__no_pointer.jsonl
faithfulness,llm_aggrefact_A,150,70,0.6364,0.4521,0.5885,0.0328,0.4704,0.4946,5.0,ok,claim,True,llm_aggrefact_A__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
faithfulness,llm_aggrefact_B,150,65,0.6047,0.5012,0.6554,0.0276,0.4875,0.5422,5.0,ok,claim,True,llm_aggrefact_B__meta-llama__Llama-3.2-3B-Instruct__detect.jsonl
faithfulness,ragtruth,300,158,0.69,0.6282,0.5859,0.0082,0.5774,0.629,5.0,ok,response,True,ragtruth__meta-llama__Llama-3.2-3B-Instruct__main.jsonl
