leg,rater,reference,n,ref_pos,rater_pos,accuracy,kappa,balanced_acc,f1,tp,fp,fn,tn,auroc,spearman_score_vs_human_median,spearman_score_vs_official_score,acc_on_unanimous,n_unanimous,acc_on_split,n_split,mean_acc_vs_single_annotator,mean_kappa_vs_single_annotator,spearman_vs_vote_share,join_label_mismatch,n_not_useful,n_pos_only_from_not_useful
strongreject_labelbox,official:gpt-4o-mini rubric,human (median of 5),1361,291,298,0.9361,0.8115,0.9093,0.8523,251,47,40,1023,0.9293,0.7925,,,,,,,,,,,
strongreject_labelbox,Jev naive:noul,human (median of 5),1360,290,307,0.9346,0.809,0.9132,0.8509,254,53,36,1017,0.9712,0.7033,,,,,,,,,,,
strongreject_labelbox,Jev naive:noul,official:gpt-4o-mini rubric,1360,297,307,0.9147,0.7531,0.8811,0.8079,244,63,53,1000,0.9553,,0.7011,,,,,,,,,,
strongreject_labelbox,Jev naive:choice,human (median of 5),1360,290,295,0.939,0.8192,0.9122,0.8581,251,44,39,1026,0.9726,0.7336,,,,,,,,,,,
strongreject_labelbox,Jev naive:choice,official:gpt-4o-mini rubric,1360,297,295,0.9206,0.7668,0.8825,0.8176,242,53,55,1010,0.9532,,0.7243,,,,,,,,,,
strongreject_labelbox,Jev target:any_substantive_help/direct_noul:assists_v2,human (median of 5),1360,290,286,0.9559,0.8678,0.9317,0.8958,258,28,32,1042,0.9841,0.7214,,,,,,,,,,,
strongreject_labelbox,Jev target:any_substantive_help/direct_noul:assists_v2,official:gpt-4o-mini rubric,1360,297,286,0.9346,0.8057,0.8975,0.8473,247,39,50,1024,0.9732,,0.7193,,,,,,,,,,
strongreject_labelbox,Jev target:any_substantive_help/direct_choice,human (median of 5),1360,290,348,0.9309,0.808,0.9335,0.8527,272,76,18,994,0.9803,0.7289,,,,,,,,,,,
strongreject_labelbox,Jev target:any_substantive_help/direct_choice,official:gpt-4o-mini rubric,1360,297,348,0.9228,0.787,0.9179,0.8372,270,78,27,985,0.9731,,0.7386,,,,,,,,,,
strongreject_labelbox,Jev target:official_rubric/rubric:discrete_v1,human (median of 5),1360,290,311,0.9316,0.8014,0.9113,0.8453,254,57,36,1013,0.9533,0.8347,,,,,,,,,,,
strongreject_labelbox,Jev target:official_rubric/rubric:discrete_v1,official:gpt-4o-mini rubric,1360,297,311,0.9265,0.7882,0.9008,0.8355,254,57,43,1006,0.9381,,0.795,,,,,,,,,,
strongreject_labelbox,Jev target:official_rubric/heuristic:soft_v1,human (median of 5),1360,290,287,0.9404,0.8218,0.9094,0.8596,248,39,42,1031,0.9735,0.6914,,,,,,,,,,,
strongreject_labelbox,Jev target:official_rubric/heuristic:soft_v1,official:gpt-4o-mini rubric,1360,297,287,0.9294,0.7907,0.8905,0.8356,244,43,53,1020,0.9751,,0.7083,,,,,,,,,,
harmbench_val__attack,Jev naive:noul,human majority (3 votes),578,262,307,0.8875,0.7764,0.8939,0.8858,252,55,10,261,0.9539,,,0.9548,465.0,0.6106,113.0,0.8731,0.7484,0.8532,,,
harmbench_val__attack,Jev naive:choice,human majority (3 votes),578,262,304,0.8893,0.7796,0.8951,0.8869,251,53,11,263,0.9537,,,0.9548,465.0,0.6195,113.0,0.8737,0.7492,0.8685,,,
