benchmark,variant,track,is_canonical,rows,labelled,state_fields,path,original_file
abstentionbench,main,main,True,150,150,question|response,data/variants/abstentionbench/main.jsonl,abstentionbench__allenai__Olmo-3-7B-Instruct__main.jsonl
abstentionbench,should_answer__main,main,False,150,150,question|response,data/variants/abstentionbench/should_answer__main.jsonl,abstentionbench_should_answer__allenai__Olmo-3-7B-Instruct__main.jsonl
bias_race_content,main,main,True,60,60,name_a|name_b|story_a|story_b,data/variants/bias_race_content/main.jsonl,bias_race_content__allenai__Olmo-3-7B-Instruct__main.jsonl
bias_race_content,swap_ab,ablation,False,60,60,name_a|name_b|story_a|story_b,data/variants/bias_race_content/swap_ab.jsonl,bias_race_content__allenai__Olmo-3-7B-Instruct__swap_ab.jsonl
bias_race_content,untruncated,ablation,False,60,60,name_a|name_b|story_a|story_b,data/variants/bias_race_content/untruncated.jsonl,bias_race_content__allenai__Olmo-3-7B-Instruct__untruncated.jsonl
bias_refbio,main,main,True,52,52,male_candidate|female_candidate|profile_for_male|profile_for_female,data/variants/bias_refbio/main.jsonl,bias_refbio__allenai__Olmo-3-7B-Instruct__main.jsonl
bias_refbio,main__excluded,exclusion,False,54,54,male_candidate|female_candidate|profile_for_male|profile_for_female,data/variants/bias_refbio/main__excluded.jsonl,bias_refbio__allenai__Olmo-3-7B-Instruct__main__excluded.jsonl
bias_refbio,untruncated,ablation,False,52,52,male_candidate|female_candidate|profile_for_male|profile_for_female,data/variants/bias_refbio/untruncated.jsonl,bias_refbio__allenai__Olmo-3-7B-Instruct__untruncated.jsonl
bias_refbio,untruncated__excluded,exclusion,False,54,54,male_candidate|female_candidate|profile_for_male|profile_for_female,data/variants/bias_refbio/untruncated__excluded.jsonl,bias_refbio__allenai__Olmo-3-7B-Instruct__untruncated__excluded.jsonl
bias_refletter,main,main,True,43,43,male_candidate|female_candidate|letter_for_male|letter_for_female,data/variants/bias_refletter/main.jsonl,bias_refletter__allenai__Olmo-3-7B-Instruct__main.jsonl
bias_refletter,main__excluded,exclusion,False,50,50,male_candidate|female_candidate|letter_for_male|letter_for_female,data/variants/bias_refletter/main__excluded.jsonl,bias_refletter__allenai__Olmo-3-7B-Instruct__main__excluded.jsonl
bias_refletter,untruncated,ablation,False,43,43,male_candidate|female_candidate|letter_for_male|letter_for_female,data/variants/bias_refletter/untruncated.jsonl,bias_refletter__allenai__Olmo-3-7B-Instruct__untruncated.jsonl
bias_refletter,untruncated__excluded,exclusion,False,50,50,male_candidate|female_candidate|letter_for_male|letter_for_female,data/variants/bias_refletter/untruncated__excluded.jsonl,bias_refletter__allenai__Olmo-3-7B-Instruct__untruncated__excluded.jsonl
bias_scene_heldout,main__armA,main,False,44,44,male_character|female_character|scene,data/variants/bias_scene_heldout/main__armA.jsonl,bias_scene_heldout__allenai__Olmo-3-7B-Instruct__main__armA.jsonl
bias_scene_heldout,main__armB,main,True,44,44,male_character|female_character|scene,data/variants/bias_scene_heldout/main__armB.jsonl,bias_scene_heldout__allenai__Olmo-3-7B-Instruct__main__armB.jsonl
bias_scene_heldout,untruncated__armA,ablation,False,44,44,male_character|female_character|scene,data/variants/bias_scene_heldout/untruncated__armA.jsonl,bias_scene_heldout__allenai__Olmo-3-7B-Instruct__untruncated__armA.jsonl
bias_scene_heldout,untruncated__armB,ablation,False,44,44,male_character|female_character|scene,data/variants/bias_scene_heldout/untruncated__armB.jsonl,bias_scene_heldout__allenai__Olmo-3-7B-Instruct__untruncated__armB.jsonl
confaide,2b_detection,main,True,98,98,scenario|model_response,data/variants/confaide/2b_detection.jsonl,confaide__microsoft__Phi-4-mini-instruct__2b_detection.jsonl
confaide,2b_understanding,understanding,False,98,98,scenario,data/variants/confaide/2b_understanding.jsonl,confaide__microsoft__Phi-4-mini-instruct__2b_understanding.jsonl
confaide,3_detection,main,False,122,122,story|question|response,data/variants/confaide/3_detection.jsonl,confaide__microsoft__Phi-4-mini-instruct__3_detection.jsonl
confaide,3_detection+with_key,oracle_upper_bound,False,122,122,story|question|response|aware_character|oblivious_character,data/variants/confaide/3_detection+with_key.jsonl,confaide__microsoft__Phi-4-mini-instruct__3_detection+with_key.jsonl
confaide,3_understanding,understanding,False,244,244,story|question|character,data/variants/confaide/3_understanding.jsonl,confaide__microsoft__Phi-4-mini-instruct__3_understanding.jsonl
confaide,4_detection,main,False,40,40,meeting|task|response,data/variants/confaide/4_detection.jsonl,confaide__microsoft__Phi-4-mini-instruct__4_detection.jsonl
confaide,4_detection+with_key,oracle_upper_bound,False,40,40,meeting|task|response|public_fact|private_fact,data/variants/confaide/4_detection+with_key.jsonl,confaide__microsoft__Phi-4-mini-instruct__4_detection+with_key.jsonl
confaide,4_understanding,understanding,False,80,80,meeting|task|fact,data/variants/confaide/4_understanding.jsonl,confaide__microsoft__Phi-4-mini-instruct__4_understanding.jsonl
deceptionbench_reward,blind-response_only,main,True,300,300,question|groundtruth|response,data/variants/deceptionbench_reward/blind-response_only.jsonl,deceptionbench_reward__google__gemma-2-2b-it__blind-response_only.jsonl
deceptionbench_reward,blind-with_thought,ablation,False,64,64,question|groundtruth|thought|response,data/variants/deceptionbench_reward/blind-with_thought.jsonl,deceptionbench_reward__google__gemma-2-2b-it__blind-with_thought.jsonl
deceptionbench_reward,official-no_groundtruth-response_only,ablation,False,300,300,question|deceptive_goal|response,data/variants/deceptionbench_reward/official-no_groundtruth-response_only.jsonl,deceptionbench_reward__google__gemma-2-2b-it__official-no_groundtruth-response_only.jsonl
deceptionbench_reward,official-response_only,official_track,False,300,300,question|groundtruth|deceptive_goal|response,data/variants/deceptionbench_reward/official-response_only.jsonl,deceptionbench_reward__google__gemma-2-2b-it__official-response_only.jsonl
deceptionbench_reward,official-with_thought,official_track,False,64,64,question|groundtruth|deceptive_goal|thought|response,data/variants/deceptionbench_reward/official-with_thought.jsonl,deceptionbench_reward__google__gemma-2-2b-it__official-with_thought.jsonl
elephant_aita,main,main,True,255,255,original_post|reply_to_original|flipped_post|reply_to_flipped,data/variants/elephant_aita/main.jsonl,elephant_aita__Qwen__Qwen3.5-2B__main.jsonl
