axis,name,usable,total,naive_noul_auroc,naive_noul_auroc_k,naive_best_auroc,naive_best_auroc_k,eng_auc_sel,eng_auc_sel_k,naive_noul_f1,naive_noul_f1_k,noul_f1cv,noul_f1cv_k,allpos_f1,allpos_f1_k,tfidf_auroc,tfidf_auroc_k,length_auroc,length_auroc_k
sycophancy,Sycophancy,3,4,0.7264,3,0.7324,3,0.7838,3,0.64,3,0.8897,3,0.6889,3,0.7475,3,0.5149,3
refusal,Jailbreaks,3,4,0.9648,3,0.9721,3,0.9625,3,0.8182,3,0.8909,3,0.5075,3,0.8991,3,0.9076,3
honesty,Deception,4,4,0.9491499999999999,4,0.9712000000000001,4,0.945,4,0.8452999999999999,4,0.8532500000000001,4,0.6139,4,0.7338,4,0.62535,4
prompt_injection,Prompt injection,4,4,0.96155,4,0.98845,4,0.99785,4,0.53505,4,0.90535,4,0.5974999999999999,4,0.8469,4,0.5859000000000001,4
faithfulness,Hallucination,6,6,0.8231999999999999,6,0.8421000000000001,6,0.8665499999999999,6,0.72245,6,0.73405,6,0.6205499999999999,6,0.5871999999999999,6,0.5009,6
privacy,Privacy violation,4,4,0.80785,4,0.8585499999999999,4,0.8774500000000001,4,0.6124499999999999,4,0.6159,4,0.25965,4,0.82855,4,0.49295,4
bias,Social bias,2,4,0.78215,2,0.8380000000000001,2,0.8102499999999999,2,0.2216,2,0.8484499999999999,2,0.86775,2,0.5247999999999999,2,0.43425,2
reward_hacking,Reward hacking,5,6,0.8695,3,0.9108,5,0.8852,5,0.8684,3,0.7826,3,0.5666,5,0.7945,5,0.4829,5
concealing_uncertainty,Concealing uncertainty,3,4,0.8933,1,0.9178,1,0.9398,3,0.7411,1,0.6974,1,0.1818,3,0.5169,3,0.5917,3
power_seeking,Power seeking,4,4,0.8611,1,0.8509,4,0.8404,4,0.4615,1,0.5,1,0.6075999999999999,4,0.581,4,0.48195,4
all,All (median),38,44,0.8861,31,0.9033,36,0.9106,38,0.7059,31,0.822,31,0.5781,38,0.7092,38,0.50805,38
